"Group","Freq","SurveyName","Country","StartYear"
"Formerly Married",0.00130823751440483,"AFIR70FL.DTA","Afghanistan",2015
"Married",0.998691762485595,"AFIR70FL.DTA","Afghanistan",2015
"Formerly Married",0.0810176620053241,"AOIR71FL.DTA","Angola",2015
"Married",0.568128832470527,"AOIR71FL.DTA","Angola",2015
"Never Married",0.350853505524149,"AOIR71FL.DTA","Angola",2015
"Formerly Married",0.00468894748229601,"AMIR71FL.DTA","Armenia",2015
"Married",0.991353158151859,"AMIR71FL.DTA","Armenia",2015
"Never Married",0.00395789436584508,"AMIR71FL.DTA","Armenia",2015
"Formerly Married",0.00627710632933034,"AMIR61FL.DTA","Armenia",2010
"Married",0.991950641113544,"AMIR61FL.DTA","Armenia",2010
"Never Married",0.00177225255712538,"AMIR61FL.DTA","Armenia",2010
"Married",1,"BDIR7RFL.DTA","Bangladesh",2017
"Married",1,"BDIR72FL.DTA","Bangladesh",2014
"Married",1,"BDIR61FL.DTA","Bangladesh",2011
"Formerly Married",0.0525277002909153,"BJIR71FL.DTA","Benin",2017
"Married",0.754516059684469,"BJIR71FL.DTA","Benin",2017
"Never Married",0.192956240024616,"BJIR71FL.DTA","Benin",2017
"Formerly Married",0.0491684992861245,"BJIR61FL.DTA","Benin",2011
"Married",0.650275424016707,"BJIR61FL.DTA","Benin",2011
"Never Married",0.300556076697168,"BJIR61FL.DTA","Benin",2011
"Formerly Married",0.0248683444828762,"BFIR62FL.DTA","Burkina Faso",2010
"Married",0.840399623376749,"BFIR62FL.DTA","Burkina Faso",2010
"Never Married",0.134732032140375,"BFIR62FL.DTA","Burkina Faso",2010
"Formerly Married",0.0412358376481403,"BUIR70FL.DTA","Burundi",2016
"Married",0.903896514456473,"BUIR70FL.DTA","Burundi",2016
"Never Married",0.054867647895387,"BUIR70FL.DTA","Burundi",2016
"Formerly Married",0.029883930329809,"BUIR61FL.DTA","Burundi",2010
"Married",0.941799203021765,"BUIR61FL.DTA","Burundi",2010
"Never Married",0.0283168666484259,"BUIR61FL.DTA","Burundi",2010
"Formerly Married",0.00794962687262288,"KHIR73FL.DTA","Cambodia",2014
"Married",0.989307670409573,"KHIR73FL.DTA","Cambodia",2014
"Never Married",0.00274270271780388,"KHIR73FL.DTA","Cambodia",2014
"Formerly Married",0.0770649673929669,"CMIR61FL.DTA","Cameroon",2011
"Married",0.625981160115318,"CMIR61FL.DTA","Cameroon",2011
"Never Married",0.296953872491715,"CMIR61FL.DTA","Cameroon",2011
"Formerly Married",0.109542169911915,"TDIR71FL.DTA","Chad",2014
"Married",0.78980080763705,"TDIR71FL.DTA","Chad",2014
"Never Married",0.100657022451035,"TDIR71FL.DTA","Chad",2014
"Formerly Married",0.0503135338072311,"KMIR61FL.DTA","Comoros",2012
"Married",0.867606517902297,"KMIR61FL.DTA","Comoros",2012
"Never Married",0.0820799482904716,"KMIR61FL.DTA","Comoros",2012
"Formerly Married",0.148994805590173,"CGIR60FL.DTA","Congo",2011
"Married",0.586432238747047,"CGIR60FL.DTA","Congo",2011
"Never Married",0.26457295566278,"CGIR60FL.DTA","Congo",2011
"Formerly Married",0.222951542727478,"DRIR61FL.DTA","Dominican Republic",2013
"Married",0.705012160120587,"DRIR61FL.DTA","Dominican Republic",2013
"Never Married",0.0720362971519352,"DRIR61FL.DTA","Dominican Republic",2013
"Married",1,"EGIR61FL.DTA","Egypt",2014
"Formerly Married",0.0525052366764024,"ETIR70FL.DTA","Ethiopia",2016
"Married",0.923096935455697,"ETIR70FL.DTA","Ethiopia",2016
"Never Married",0.0243978278679005,"ETIR70FL.DTA","Ethiopia",2016
"Formerly Married",0.0642428732697137,"ETIR61FL.DTA","Ethiopia",2011
"Married",0.910330937794453,"ETIR61FL.DTA","Ethiopia",2011
"Never Married",0.0254261889358329,"ETIR61FL.DTA","Ethiopia",2011
"Formerly Married",0.113234514125176,"GAIR60FL.DTA","Gabon",2012
"Married",0.492367477704875,"GAIR60FL.DTA","Gabon",2012
"Never Married",0.394398008169949,"GAIR60FL.DTA","Gabon",2012
"Formerly Married",0.0504567507055503,"GMIR81FL.DTA","Gambia",2019
"Married",0.893930017170771,"GMIR81FL.DTA","Gambia",2019
"Never Married",0.0556132321236782,"GMIR81FL.DTA","Gambia",2019
"Formerly Married",0.0814785403312468,"GMIR60FL.DTA","Gambia",2013
"Married",0.835100382261372,"GMIR60FL.DTA","Gambia",2013
"Never Married",0.083421077407381,"GMIR60FL.DTA","Gambia",2013
"Formerly Married",0.0942311764485024,"GHIR72FL.DTA","Ghana",2014
"Married",0.662372779699263,"GHIR72FL.DTA","Ghana",2014
"Never Married",0.243396043852235,"GHIR72FL.DTA","Ghana",2014
"Formerly Married",0.068149760104643,"GUIR71FL.DTA","Guatemala",2014
"Married",0.891900172204986,"GUIR71FL.DTA","Guatemala",2014
"Never Married",0.0399500676903711,"GUIR71FL.DTA","Guatemala",2014
"Formerly Married",0.0375465647984095,"GNIR71FL.DTA","Guinea",2018
"Married",0.656446363705271,"GNIR71FL.DTA","Guinea",2018
"Never Married",0.30600707149632,"GNIR71FL.DTA","Guinea",2018
"Formerly Married",0.0743155991623394,"GNIR62FL.DTA","Guinea",2012
"Married",0.483229560712129,"GNIR62FL.DTA","Guinea",2012
"Never Married",0.442454840125531,"GNIR62FL.DTA","Guinea",2012
"Formerly Married",0.107586429350147,"HNIR62FL.DTA","Honduras",2011
"Married",0.846095870903048,"HNIR62FL.DTA","Honduras",2011
"Never Married",0.0463176997468049,"HNIR62FL.DTA","Honduras",2011
"Formerly Married",0.036487210516991,"IAIR7DFL.DTA","India",2019
"Married",0.958337873138988,"IAIR7DFL.DTA","India",2019
"Never Married",0.00517491634402054,"IAIR7DFL.DTA","India",2019
"Formerly Married",0.0382377575247784,"IAIR73FL.DTA","India",2015
"Married",0.959693303249692,"IAIR73FL.DTA","India",2015
"Never Married",0.0020689392255292,"IAIR73FL.DTA","India",2015
"Formerly Married",0.00495769327645918,"IDIR71FL.DTA","Indonesia",2017
"Married",0.994147341140126,"IDIR71FL.DTA","Indonesia",2017
"Never Married",0.000894965583414384,"IDIR71FL.DTA","Indonesia",2017
"Formerly Married",0.0052895844887022,"IDIR63FL.DTA","Indonesia",2012
"Married",0.99395841459264,"IDIR63FL.DTA","Indonesia",2012
"Never Married",0.000752000918658159,"IDIR63FL.DTA","Indonesia",2012
"Formerly Married",0.00194083665004383,"JOIR72FL.DTA","Jordan",2017
"Married",0.998059163349956,"JOIR72FL.DTA","Jordan",2017
"Formerly Married",0.00129257355846997,"JOIR6CFL.DTA","Jordan",2012
"Married",0.99870742644153,"JOIR6CFL.DTA","Jordan",2012
"Formerly Married",0.091643820255086,"KEIR72FL.DTA","Kenya",2014
"Married",0.812299778631467,"KEIR72FL.DTA","Kenya",2014
"Never Married",0.0960564011134469,"KEIR72FL.DTA","Kenya",2014
"Formerly Married",0.0348552924559228,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Married",0.952327287200646,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Never Married",0.0128174203434316,"KYIR61FL.DTA","Kyrgyz Republic",2012
"Formerly Married",0.122070369945473,"LSIR71FL.DTA","Lesotho",2014
"Married",0.671389236736152,"LSIR71FL.DTA","Lesotho",2014
"Never Married",0.206540393318375,"LSIR71FL.DTA","Lesotho",2014
"Formerly Married",0.098345379409601,"LBIR7AFL.DTA","Liberia",2019
"Married",0.496813614535724,"LBIR7AFL.DTA","Liberia",2019
"Never Married",0.404841006054675,"LBIR7AFL.DTA","Liberia",2019
"Formerly Married",0.111401248620335,"LBIR6AFL.DTA","Liberia",2013
"Married",0.542915429455706,"LBIR6AFL.DTA","Liberia",2013
"Never Married",0.345683321923959,"LBIR6AFL.DTA","Liberia",2013
"Formerly Married",0.0954133532643825,"MDIR81FL.DTA","Madagascar",2021
"Married",0.770401949597849,"MDIR81FL.DTA","Madagascar",2021
"Never Married",0.134184697137769,"MDIR81FL.DTA","Madagascar",2021
"Formerly Married",0.109425363989722,"MWIR7AFL.DTA","Malawi",2015
"Married",0.846348652406291,"MWIR7AFL.DTA","Malawi",2015
"Never Married",0.0442259836039866,"MWIR7AFL.DTA","Malawi",2015
"Formerly Married",0.0261341046509619,"MVIR71FL.DTA","Maldives",2016
"Married",0.965190087408377,"MVIR71FL.DTA","Maldives",2016
"Never Married",0.00867580794066077,"MVIR71FL.DTA","Maldives",2016
"Formerly Married",0.0176199202478339,"MLIR7HFL.DTA","Mali",2018
"Married",0.868122676592817,"MLIR7HFL.DTA","Mali",2018
"Never Married",0.114257403159349,"MLIR7HFL.DTA","Mali",2018
"Formerly Married",0.0159204851489841,"MLIR6AFL.DTA","Mali",2012
"Married",0.875902954190086,"MLIR6AFL.DTA","Mali",2012
"Never Married",0.10817656066093,"MLIR6AFL.DTA","Mali",2012
"Married",1,"MRIR71FL.DTA","Mauritania",2019
"Formerly Married",0.134982581424421,"MZIR62FL.DTA","Mozambique",2011
"Married",0.640563523469625,"MZIR62FL.DTA","Mozambique",2011
"Never Married",0.224453895105953,"MZIR62FL.DTA","Mozambique",2011
"Formerly Married",0.00875607924933402,"NPIR7HFL.DTA","Nepal",2016
"Married",0.990903619167529,"NPIR7HFL.DTA","Nepal",2016
"Never Married",0.000340301583136844,"NPIR7HFL.DTA","Nepal",2016
"Formerly Married",0.0117718343845117,"NPIR60FL.DTA","Nepal",2011
"Married",0.986987670168784,"NPIR60FL.DTA","Nepal",2011
"Never Married",0.0012404954467043,"NPIR60FL.DTA","Nepal",2011
"Formerly Married",0.00943446912304406,"NIIR61FL.DTA","Niger",2012
"Married",0.984873161316095,"NIIR61FL.DTA","Niger",2012
"Never Married",0.00569236956086082,"NIIR61FL.DTA","Niger",2012
"Formerly Married",0.0379269830232517,"NGIR7AFL.DTA","Nigeria",2018
"Married",0.809827597788422,"NGIR7AFL.DTA","Nigeria",2018
"Never Married",0.152245419188327,"NGIR7AFL.DTA","Nigeria",2018
"Formerly Married",0.0384534575830266,"NGIR6AFL.DTA","Nigeria",2013
"Married",0.677125398878292,"NGIR6AFL.DTA","Nigeria",2013
"Never Married",0.284421143538681,"NGIR6AFL.DTA","Nigeria",2013
"Formerly Married",0.0123513548152211,"PKIR71FL.DTA","Pakistan",2017
"Married",0.987648645184779,"PKIR71FL.DTA","Pakistan",2017
"Formerly Married",0.0144099236118814,"PHIR61FL.DTA","Philippines",2013
"Married",0.959509244817288,"PHIR61FL.DTA","Philippines",2013
"Never Married",0.0260808315708301,"PHIR61FL.DTA","Philippines",2013
"Formerly Married",0.0672144112455318,"RWIR81FL.DTA","Rwanda",2019
"Married",0.840202524091086,"RWIR81FL.DTA","Rwanda",2019
"Never Married",0.0925830646633823,"RWIR81FL.DTA","Rwanda",2019
"Formerly Married",0.0619817981310857,"RWIR70FL.DTA","Rwanda",2014
"Married",0.891953747750926,"RWIR70FL.DTA","Rwanda",2014
"Never Married",0.0460644541179881,"RWIR70FL.DTA","Rwanda",2014
"Formerly Married",0.0530108751059444,"RWIR61FL.DTA","Rwanda",2010
"Married",0.909266504062929,"RWIR61FL.DTA","Rwanda",2010
"Never Married",0.0377226208311267,"RWIR61FL.DTA","Rwanda",2010
"Formerly Married",0.0274553628193304,"SNIR8AFL.DTA","Senegal",2019
"Married",0.933640459301443,"SNIR8AFL.DTA","Senegal",2019
"Never Married",0.0389041778792262,"SNIR8AFL.DTA","Senegal",2019
"Formerly Married",0.0444579354695181,"SNIR80FL.DTA","Senegal",2018
"Married",0.892930167195973,"SNIR80FL.DTA","Senegal",2018
"Never Married",0.0626118973345095,"SNIR80FL.DTA","Senegal",2018
"Formerly Married",0.0368426845186825,"SNIR7ZFL.DTA","Senegal",2017
"Married",0.905074691440262,"SNIR7ZFL.DTA","Senegal",2017
"Never Married",0.0580826240410555,"SNIR7ZFL.DTA","Senegal",2017
"Formerly Married",0.0357859036681734,"SNIR7QFL.DTA","Senegal",2016
"Married",0.928774815677163,"SNIR7QFL.DTA","Senegal",2016
"Never Married",0.0354392806546635,"SNIR7QFL.DTA","Senegal",2016
"Formerly Married",0.0422394552195089,"SNIR7HFL.DTA","Senegal",2015
"Married",0.895389808131851,"SNIR7HFL.DTA","Senegal",2015
"Never Married",0.0623707366486406,"SNIR7HFL.DTA","Senegal",2015
"Formerly Married",0.0296065411359116,"SNIR70FL.DTA","Senegal",2014
"Married",0.89590368381951,"SNIR70FL.DTA","Senegal",2014
"Never Married",0.0744897750445784,"SNIR70FL.DTA","Senegal",2014
"Formerly Married",0.0268228525838875,"SNIR6DFL.DTA","Senegal",2012
"Married",0.909737313933281,"SNIR6DFL.DTA","Senegal",2012
"Never Married",0.0634398334828317,"SNIR6DFL.DTA","Senegal",2012
"Formerly Married",0.0346834672498499,"SNIR61FL.DTA","Senegal",2010
"Married",0.903203015546757,"SNIR61FL.DTA","Senegal",2010
"Never Married",0.062113517203393,"SNIR61FL.DTA","Senegal",2010
"Formerly Married",0.0563887248000862,"SLIR7AFL.DTA","Sierra Leone",2019
"Married",0.546029589992637,"SLIR7AFL.DTA","Sierra Leone",2019
"Never Married",0.397581685207277,"SLIR7AFL.DTA","Sierra Leone",2019
"Formerly Married",0.0715753425905765,"SLIR61FL.DTA","Sierra Leone",2013
"Married",0.493198605769473,"SLIR61FL.DTA","Sierra Leone",2013
"Never Married",0.435226051639951,"SLIR61FL.DTA","Sierra Leone",2013
"Formerly Married",0.0499943149917065,"ZAIR71FL.DTA","South Africa",2016
"Married",0.406232989735483,"ZAIR71FL.DTA","South Africa",2016
"Never Married",0.54377269527281,"ZAIR71FL.DTA","South Africa",2016
"Formerly Married",0.00574857212520119,"TJIR71FL.DTA","Tajikistan",2017
"Married",0.993842988103814,"TJIR71FL.DTA","Tajikistan",2017
"Never Married",0.00040843977098534,"TJIR71FL.DTA","Tajikistan",2017
"Formerly Married",0.00645257260573476,"TJIR61FL.DTA","Tajikistan",2012
"Married",0.993547427394265,"TJIR61FL.DTA","Tajikistan",2012
"Formerly Married",0.133439151559281,"TZIR7BFL.DTA","Tanzania",2015
"Married",0.73229226401098,"TZIR7BFL.DTA","Tanzania",2015
"Never Married",0.13426858442974,"TZIR7BFL.DTA","Tanzania",2015
"Formerly Married",0.00463141239004434,"TLIR71FL.DTA","Timor-Leste",2016
"Married",0.988636837551347,"TLIR71FL.DTA","Timor-Leste",2016
"Never Married",0.00673175005860902,"TLIR71FL.DTA","Timor-Leste",2016
"Formerly Married",0.0511408030778111,"TGIR61FL.DTA","Togo",2013
"Married",0.680876003512559,"TGIR61FL.DTA","Togo",2013
"Never Married",0.26798319340963,"TGIR61FL.DTA","Togo",2013
"Formerly Married",0.0126386264443366,"TRIR61FL.DTA","Turkey",2013
"Married",0.983667271285387,"TRIR61FL.DTA","Turkey",2013
"Never Married",0.00369410227027662,"TRIR61FL.DTA","Turkey",2013
"Formerly Married",0.118751934450623,"UGIR7BFL.DTA","Uganda",2016
"Married",0.780668766223047,"UGIR7BFL.DTA","Uganda",2016
"Never Married",0.10057929932633,"UGIR7BFL.DTA","Uganda",2016
"Formerly Married",0.113070446080146,"UGIR60FL.DTA","Uganda",2011
"Married",0.794673871178807,"UGIR60FL.DTA","Uganda",2011
"Never Married",0.0922556827410476,"UGIR60FL.DTA","Uganda",2011
"Formerly Married",0.103535359986374,"ZMIR71FL.DTA","Zambia",2018
"Married",0.784012765420054,"ZMIR71FL.DTA","Zambia",2018
"Never Married",0.112451874593572,"ZMIR71FL.DTA","Zambia",2018
"Formerly Married",0.0837379269255445,"ZMIR61FL.DTA","Zambia",2013
"Married",0.837857799576048,"ZMIR61FL.DTA","Zambia",2013
"Never Married",0.078404273498408,"ZMIR61FL.DTA","Zambia",2013
"Formerly Married",0.105384159766305,"ZWIR71FL.DTA","Zimbabwe",2015
"Married",0.849619094070191,"ZWIR71FL.DTA","Zimbabwe",2015
"Never Married",0.0449967461635039,"ZWIR71FL.DTA","Zimbabwe",2015
"Formerly Married",0.0808467396231007,"ZWIR62FL.DTA","Zimbabwe",2010
"Married",0.880743013117161,"ZWIR62FL.DTA","Zimbabwe",2010
"Never Married",0.038410247259738,"ZWIR62FL.DTA","Zimbabwe",2010
